"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AXL"	2.70169179389334	1.59948810246817	12.3949074745004	1.94065338834121e-09	6.69525418977716e-08	12.0252961167224
"LGALS3BP"	2.69874054029625	6.09208852113157	29.6879082486451	4.69929267840596e-15	1.74285017210381e-12	24.9161841240292
"STAT1"	2.65707577145245	8.97337175297139	39.8597473865036	5.22734069372275e-17	4.89774310682381e-14	29.4075735374336
"USP30-AS1"	2.64275763683949	2.19802752245915	12.6134728581288	1.51547806316527e-09	5.48344318708702e-08	12.3013661223105
"FAM177B"	2.64172121502445	2.4025892204368	19.7502590931691	2.19032004700116e-12	2.76539556572444e-10	18.5530158907202
"SP140"	2.61362526623808	5.38199427745238	28.0446759886748	1.1162527292796e-14	3.74934548804444e-12	24.0519512427244
"LYSMD2"	2.61159970892907	2.11330975332932	19.5187840444969	2.61086080071086e-12	3.11936536739964e-10	18.2942245840088
"CTD-2047H16.4"	2.60805267817612	8.26376927600682	29.5594501915871	5.01962909990245e-15	1.82366198441762e-12	24.7955836150181
"STAT2"	2.59098047107341	7.67940354707002	33.8370765384728	6.40184179402666e-16	4.07019955775938e-13	26.9012378661994
"PTGS2"	2.58348142143929	1.75160104077324	9.74976910664656	5.32127043732403e-08	1.04905045764388e-06	8.79065437887324
"APOL1"	2.57554811896333	6.05626365045666	23.2218965148634	1.93584257872215e-13	4.05433759840137e-11	21.1515865869149
"SLFN5"	2.55077886342358	6.95401461754698	27.3577427103143	1.62616443198569e-14	4.99120331348434e-12	23.6392984964417
"SCIMP"	2.52765999392152	5.48506389433331	18.2140561738882	7.29490570794232e-12	7.29572536026906e-10	17.4674435969656
"ADM"	2.52200791355905	2.57041473722941	11.7360480093017	4.18242456450554e-09	1.23680269264664e-07	11.287519694368
"SOD2"	2.49879629075473	9.34939337517958	30.1903324855006	3.64048597865859e-15	1.50716119516466e-12	25.0855018886413
"PML"	2.49374223568371	6.17049555714603	29.9860538498743	4.03665603232713e-15	1.63285109135712e-12	25.0675064511772
"LAP3"	2.47832044714378	7.69594210851759	29.9422041985969	4.12753056460343e-15	1.63285109135712e-12	25.0126957801179
"HIVEP2"	2.47764134501332	3.58365462699365	13.5346763073645	5.55099904605429e-10	2.37545396677545e-08	13.2401944803386
"LAP3P2"	2.47685526113233	6.12516817682386	27.2822072253014	1.69579198797766e-14	5.03141482832971e-12	23.6241553101971
"RP11-333E1.1"	2.43103523910699	5.96007120138037	18.5830624473218	5.41880604147034e-12	5.70802278995592e-10	17.7269003326243
"NAMPTP1"	2.42779641417539	4.32089575564837	15.657590163894	6.74586207803989e-11	4.48096405646515e-09	15.3073420364555
"AC006160.5"	2.42258481501404	7.06051151678784	27.5595225755374	1.45465755469382e-14	4.70832977975624e-12	23.7485091260855
"NIPAL4"	2.41454104724428	2.21701110063473	12.8484281079363	1.16631184898157e-09	4.44597077849461e-08	12.5597026242597
"EPHB2"	2.41108851215209	4.1547476662002	22.7763839303464	2.59088299256274e-13	4.95945150898945e-11	20.9084035933068
"PNPT1"	2.38987352531117	5.03016087742596	19.1003213389546	3.60435685770121e-12	4.03005768046147e-10	18.2325493567582
"LRRC25"	-2.3861240064228	3.39065012830429	-16.8235878763443	2.35517388571348e-11	1.8634135783765e-09	16.3868598111588
"TNFAIP3"	2.37650937577541	6.13881869575471	22.1160223110943	4.0312564686304e-13	7.17644276545584e-11	20.3919823612616
"MVB12B"	2.37040572746114	3.86540892673939	23.1321337528599	2.05204622370041e-13	4.10455358138368e-11	21.113287776596
"CD274"	2.36155448414225	6.13164640650633	17.5931215279142	1.21840404526294e-11	1.0954560006955e-09	16.8696129476215
"SOCS3"	2.33555845566363	2.63214583982003	16.0685135229847	4.61956266534057e-11	3.28949818273571e-09	15.7338726326973
"SLC1A2"	2.33305360441635	2.15179266114723	18.1083670612874	7.95137897341762e-12	7.84216027739502e-10	17.3070840687857
"UBE2L6"	2.32444370246351	7.19123382678648	36.9435542501653	1.67256920440557e-16	1.35341258985582e-13	28.2433678836882
"NAMPT"	2.32129770921067	4.96112281100136	15.9874359187922	4.97445912852924e-11	3.47701271137868e-09	15.5406026565964
"MYO1G"	2.2992356568017	2.04071727999374	9.51007847110195	7.42335200880224e-08	1.39693987802006e-06	8.43833917281656
"TYMP"	2.29497866229385	7.99434726108783	46.6196062349658	4.72838141961013e-18	7.65224054835451e-15	31.7588596974892
"IRF1"	2.2786534512882	5.59214402603005	20.5313709077916	1.22774346798948e-12	1.7485031373719e-10	19.2869856400326
"CASP1"	2.27444209892031	5.39232938775432	15.3223387720279	9.24823590725606e-11	5.71656582017266e-09	14.8434002668397
"CTD-2240E14.4"	2.2728709052834	2.08206570330027	14.7986429666628	1.53281994074116e-10	8.58089955505478e-09	14.5170758867433
"DTX3L"	2.26122489333392	6.5741460222078	31.4096583966772	1.99226620253271e-15	1.01332351249964e-12	25.7715526364168
"TAGAP"	2.25994682481472	5.2942537806172	18.3371809993163	6.60196641696674e-12	6.75852745420877e-10	17.5842723407699
"BST2"	2.25779713388512	6.88922154678589	40.0789556007847	4.80607915716416e-17	4.75321228643535e-14	29.4625573012556
"GBP3"	2.24047717356106	4.93822111081517	18.3364424166346	6.60590819588994e-12	6.75852745420877e-10	17.6181495950742
"ADAM19"	2.22794123758028	2.43838324456119	12.2064247609594	2.40897266826439e-09	7.98351291048466e-08	11.8423262759959
"ITIH4"	2.19172645847985	4.34814018530744	13.6417432180674	4.9581929253777e-10	2.17940124586602e-08	13.2484142870957
"CLEC5A"	-2.17636114528735	2.64637145603941	-12.9113285318499	1.08808373037668e-09	4.20174979786673e-08	12.6228502282706
"TCF4"	2.16930953443005	3.09068392525717	13.4977163015515	5.77270860378981e-10	2.452643402498e-08	13.2400891509884
"TAP1"	2.1509047988686	4.94672745262323	19.4402055885658	2.77247591803136e-12	3.29037441951962e-10	18.5043209237695
